,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
VIESDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESDTC_20230216002023030300T.scan,1,24,0.032,-0.033,-0.218,-0.025,-0.226,-0.139,-0.396,0.0,-0.0,0.0,-4.298,-7.572,-13.38,-0.27,0.033,0.582,-0.22,0.123,0.413
VIESDTC_20230216002023030300T.scan,2,48,-0.074,-0.171,-0.301,-0.164,-0.311,-0.178,0.424,0.0,-0.0,0.0,2.652,-2.423,-9.343,-0.364,0.1,0.817,-0.047,0.055,0.836
VIESDTC_20230216002023030300T.scan,3,72,-0.322,-0.409,-0.31,-0.415,-0.321,-0.225,1.492,0.0,0.0,0.0,11.065,4.732,-3.012,-0.62,-0.165,0.873,-0.058,0.001,0.517
VIESDTC_20230216002023030300T.scan,4,96,-0.497,-0.614,-0.366,-0.633,-0.384,-0.213,2.291,0.0,0.0,0.0,17.29,9.683,1.695,-1.038,-0.563,0.697,-0.146,0.111,0.184
VIESDTC_20230216002023030300T.scan,5,120,-0.454,-0.531,-0.398,-0.561,-0.415,-0.282,2.561,0.0,0.0,0.0,19.831,12.222,3.042,-1.383,-0.945,0.855,-0.156,0.314,0.027
VIESDTC_20230216002023030300T.scan,6,144,-0.372,-0.421,-0.358,-0.452,-0.372,-0.33,2.132,0.0,0.0,0.0,16.377,9.614,0.514,-1.034,-0.981,1.088,-0.185,0.538,0.278
VIESDTC_20230216002023030300T.scan,7,168,-0.481,-0.536,-0.343,-0.56,-0.353,-0.3,1.953,0.0,0.0,0.0,14.386,7.331,-1.739,-0.804,-0.949,1.022,-0.129,0.528,0.306
VIESDTC_20230216002023030300T.scan,8,192,-0.535,-0.612,-0.381,-0.63,-0.388,-0.228,1.597,0.0,0.0,0.0,10.942,3.83,-5.517,-0.772,-1.025,1.174,-0.251,0.367,0.169
VIESDTC_20230216002023030300T.scan,9,216,-0.579,-0.679,-0.525,-0.697,-0.525,-0.205,1.546,0.0,0.0,0.0,10.385,1.453,-9.113,-0.677,-0.885,1.51,-0.482,-0.103,-0.383
VIESDTC_20230216002023030300T.scan,10,240,-0.692,-0.895,-0.666,-0.913,-0.658,-0.238,1.829,0.0,0.0,-0.0,12.426,0.557,-12.184,-0.553,-0.684,1.882,-0.289,0.055,0.013
VIESDTC_20230216002023030300T.scan,11,264,-0.893,-1.088,-0.815,-1.099,-0.798,-0.278,1.657,-0.0,0.0,-0.0,10.168,-4.266,-20.181,-0.333,-0.342,2.251,-0.247,0.017,-0.101
RMSEDTC_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEDTC_20230216002023030300T.scan,1,24,1.516,1.415,0.82,1.429,0.83,0.962,3.044,0.001,0.001,0.0,30.126,32.303,36.511,2.318,2.526,3.962,2.09,2.469,4.14
RMSEDTC_20230216002023030300T.scan,2,48,2.021,1.995,1.152,2.012,1.166,1.23,3.463,0.001,0.001,0.001,32.328,34.269,40.034,3.276,3.4,5.703,3.1,3.23,6.048
RMSEDTC_20230216002023030300T.scan,3,72,2.21,2.191,1.409,2.222,1.416,1.435,4.002,0.002,0.002,0.001,35.598,38.684,46.941,3.866,4.137,6.749,3.544,3.953,7.639
RMSEDTC_20230216002023030300T.scan,4,96,2.53,2.512,1.738,2.524,1.745,1.583,4.642,0.002,0.002,0.001,39.933,44.828,58.69,4.118,5.092,8.098,4.061,4.805,9.363
RMSEDTC_20230216002023030300T.scan,5,120,2.731,2.701,1.962,2.694,1.959,1.739,5.141,0.002,0.002,0.001,43.673,51.081,70.514,4.588,5.725,9.755,4.284,5.559,11.13
RMSEDTC_20230216002023030300T.scan,6,144,3.069,3.062,2.215,3.024,2.207,1.958,5.313,0.002,0.002,0.001,45.018,55.136,78.638,4.776,6.235,10.594,4.661,6.147,12.474
RMSEDTC_20230216002023030300T.scan,7,168,3.255,3.275,2.346,3.229,2.333,2.056,5.483,0.002,0.002,0.001,45.232,56.286,83.022,4.951,6.25,11.15,4.945,6.507,12.964
RMSEDTC_20230216002023030300T.scan,8,192,3.346,3.42,2.51,3.35,2.5,2.049,5.577,0.002,0.002,0.001,46.02,59.611,88.19,5.166,6.716,12.081,5.132,7.149,13.822
RMSEDTC_20230216002023030300T.scan,9,216,3.504,3.692,2.742,3.613,2.719,2.139,5.936,0.002,0.002,0.001,49.62,68.51,100.628,5.166,7.224,12.893,5.377,7.231,13.424
RMSEDTC_20230216002023030300T.scan,10,240,3.595,3.844,2.877,3.755,2.843,2.182,6.004,0.003,0.003,0.001,50.58,71.599,105.24,5.183,7.679,13.799,5.512,7.355,14.285
RMSEDTC_20230216002023030300T.scan,11,264,3.864,4.169,2.879,4.087,2.854,2.226,5.985,0.003,0.003,0.001,49.964,71.966,103.942,5.374,7.709,13.978,5.586,7.38,13.642
ACORDTC_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORDTC_20230216002023030300T.scan,1,24,0.976,0.975,0.987,0.97,0.986,0.971,0.999,0.979,0.982,0.959,0.826,0.956,0.985,0.951,0.974,0.967,0.907,0.898,0.935
ACORDTC_20230216002023030300T.scan,2,48,0.958,0.953,0.975,0.945,0.973,0.952,0.999,0.938,0.941,0.877,0.805,0.95,0.981,0.91,0.953,0.934,0.783,0.804,0.843
ACORDTC_20230216002023030300T.scan,3,72,0.95,0.945,0.959,0.935,0.956,0.937,0.999,0.91,0.91,0.811,0.782,0.941,0.973,0.88,0.932,0.904,0.707,0.705,0.749
ACORDTC_20230216002023030300T.scan,4,96,0.934,0.926,0.935,0.914,0.932,0.919,0.998,0.883,0.878,0.766,0.751,0.925,0.958,0.87,0.908,0.865,0.598,0.522,0.589
ACORDTC_20230216002023030300T.scan,5,120,0.923,0.912,0.917,0.9,0.913,0.9,0.998,0.85,0.849,0.731,0.712,0.908,0.94,0.843,0.888,0.808,0.529,0.373,0.365
ACORDTC_20230216002023030300T.scan,6,144,0.901,0.88,0.891,0.866,0.887,0.878,0.998,0.829,0.826,0.709,0.681,0.894,0.927,0.816,0.869,0.773,0.451,0.272,0.224
ACORDTC_20230216002023030300T.scan,7,168,0.89,0.864,0.878,0.85,0.873,0.863,0.997,0.818,0.813,0.674,0.666,0.885,0.917,0.798,0.87,0.744,0.387,0.206,0.169
ACORDTC_20230216002023030300T.scan,8,192,0.884,0.855,0.862,0.841,0.857,0.873,0.997,0.809,0.807,0.661,0.634,0.872,0.908,0.779,0.853,0.709,0.365,0.112,0.063
ACORDTC_20230216002023030300T.scan,9,216,0.875,0.83,0.844,0.814,0.839,0.86,0.997,0.793,0.803,0.629,0.57,0.842,0.887,0.779,0.834,0.686,0.312,0.115,0.12
ACORDTC_20230216002023030300T.scan,10,240,0.869,0.821,0.825,0.806,0.822,0.842,0.997,0.772,0.785,0.589,0.598,0.841,0.876,0.771,0.819,0.664,0.302,0.062,0.056
ACORDTC_20230216002023030300T.scan,11,264,0.854,0.801,0.84,0.783,0.835,0.834,0.997,0.771,0.779,0.584,0.606,0.846,0.891,0.764,0.814,0.662,0.249,0.034,0.157
VIESBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH_20230216002023030300T.scan,1,24,-0.12,-0.17,-0.055,-0.146,-0.068,-0.007,-0.367,-0.0,-0.0,0.0,-4.688,-7.474,-9.17,-0.069,0.008,0.415,-0.127,0.021,0.311
VIESBAMH_20230216002023030300T.scan,2,48,-0.276,-0.369,-0.097,-0.343,-0.112,-0.053,0.541,-0.0,-0.0,0.0,2.85,-1.774,-4.597,0.058,-0.044,0.72,-0.038,0.042,0.579
VIESBAMH_20230216002023030300T.scan,3,72,-0.442,-0.548,-0.175,-0.532,-0.195,-0.13,1.502,0.0,-0.0,0.0,10.709,4.725,0.498,-0.268,-0.34,0.748,-0.109,-0.165,0.174
VIESBAMH_20230216002023030300T.scan,4,96,-0.591,-0.709,-0.24,-0.7,-0.263,-0.148,2.398,0.0,-0.0,0.0,18.011,10.874,5.839,-0.732,-0.771,0.44,-0.134,-0.421,-0.204
VIESBAMH_20230216002023030300T.scan,5,120,-0.571,-0.705,-0.341,-0.708,-0.366,-0.231,2.691,0.0,0.0,0.0,20.567,12.469,5.291,-1.148,-1.055,0.316,0.05,-0.185,-0.379
VIESBAMH_20230216002023030300T.scan,6,144,-0.479,-0.601,-0.407,-0.605,-0.434,-0.311,2.448,0.0,0.0,0.0,18.74,10.937,2.482,-0.962,-0.956,0.517,-0.159,0.143,0.006
VIESBAMH_20230216002023030300T.scan,7,168,-0.661,-0.764,-0.469,-0.753,-0.491,-0.267,2.17,0.0,-0.0,0.0,15.657,6.527,-2.213,-0.76,-0.982,0.527,-0.216,0.377,0.119
VIESBAMH_20230216002023030300T.scan,8,192,-0.842,-0.987,-0.511,-0.973,-0.53,-0.244,1.773,0.0,-0.0,0.0,11.139,0.51,-8.503,-0.753,-1.026,0.668,-0.076,0.502,0.382
VIESBAMH_20230216002023030300T.scan,9,216,-0.961,-1.129,-0.559,-1.116,-0.575,-0.264,2.021,0.0,-0.0,0.0,12.746,0.709,-8.423,-0.74,-1.021,0.882,-0.316,0.458,0.681
VIESBAMH_20230216002023030300T.scan,10,240,-0.833,-1.023,-0.519,-1.029,-0.536,-0.244,1.985,0.0,0.0,0.0,13.145,1.851,-7.143,-0.532,-0.887,1.066,-0.433,0.354,0.679
VIESBAMH_20230216002023030300T.scan,11,264,-0.84,-1.051,-0.547,-1.067,-0.561,-0.179,1.418,0.0,0.0,0.0,8.27,-3.724,-12.948,-0.307,-0.553,1.78,-0.414,0.233,0.629
RMSEBAMH_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH_20230216002023030300T.scan,1,24,1.811,1.694,1.073,1.71,1.084,1.115,3.25,0.001,0.001,0.001,31.923,35.544,40.379,3.08,3.245,5.133,2.759,3.108,5.653
RMSEBAMH_20230216002023030300T.scan,2,48,2.312,2.247,1.359,2.272,1.373,1.369,3.666,0.002,0.002,0.001,33.947,37.332,43.905,3.742,3.994,6.732,3.596,3.808,7.048
RMSEBAMH_20230216002023030300T.scan,3,72,2.513,2.473,1.636,2.508,1.649,1.542,4.148,0.002,0.002,0.001,36.655,42.051,52.374,4.361,4.78,7.741,3.982,4.624,8.511
RMSEBAMH_20230216002023030300T.scan,4,96,2.789,2.768,1.97,2.78,1.973,1.655,4.724,0.002,0.002,0.001,40.388,47.408,62.356,4.42,5.423,8.841,4.338,5.301,9.83
RMSEBAMH_20230216002023030300T.scan,5,120,2.965,2.926,2.146,2.92,2.142,1.747,5.247,0.002,0.002,0.001,43.791,51.622,69.211,4.682,5.979,9.855,4.549,5.935,11.477
RMSEBAMH_20230216002023030300T.scan,6,144,3.166,3.178,2.2,3.154,2.196,1.863,5.339,0.002,0.002,0.001,44.44,53.609,72.478,4.912,6.292,10.604,4.754,6.028,11.887
RMSEBAMH_20230216002023030300T.scan,7,168,3.374,3.357,2.329,3.329,2.326,1.953,5.65,0.002,0.002,0.001,46.454,56.844,78.204,5.229,6.823,11.284,5.105,6.795,12.921
RMSEBAMH_20230216002023030300T.scan,8,192,3.686,3.738,2.54,3.689,2.532,2.007,6.432,0.002,0.002,0.001,51.726,64.598,86.823,5.737,7.208,12.204,5.856,7.563,13.647
RMSEBAMH_20230216002023030300T.scan,9,216,3.672,3.881,2.776,3.83,2.76,2.038,6.738,0.002,0.002,0.001,55.927,74.998,99.832,5.589,7.718,13.184,5.731,7.851,14.087
RMSEBAMH_20230216002023030300T.scan,10,240,3.854,4.124,3.017,4.039,2.993,2.1,6.534,0.003,0.003,0.001,55.597,79.307,110.716,5.715,8.052,14.192,5.47,7.622,14.771
RMSEBAMH_20230216002023030300T.scan,11,264,3.937,4.133,3.01,4.051,2.989,2.221,6.039,0.003,0.003,0.001,51.603,76.447,107.873,5.966,8.271,14.532,5.37,7.596,14.583
ACORBAMH_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH_20230216002023030300T.scan,1,24,0.964,0.962,0.98,0.955,0.979,0.957,0.999,0.958,0.964,0.909,0.811,0.95,0.981,0.916,0.956,0.947,0.852,0.864,0.89
ACORBAMH_20230216002023030300T.scan,2,48,0.946,0.941,0.968,0.929,0.965,0.94,0.999,0.911,0.915,0.816,0.789,0.944,0.977,0.883,0.938,0.911,0.736,0.775,0.815
ACORBAMH_20230216002023030300T.scan,3,72,0.936,0.93,0.955,0.915,0.952,0.924,0.999,0.884,0.888,0.764,0.771,0.934,0.969,0.85,0.915,0.878,0.665,0.639,0.714
ACORBAMH_20230216002023030300T.scan,4,96,0.919,0.908,0.93,0.892,0.927,0.907,0.998,0.861,0.858,0.727,0.747,0.92,0.956,0.847,0.896,0.845,0.562,0.483,0.587
ACORBAMH_20230216002023030300T.scan,5,120,0.907,0.895,0.911,0.879,0.908,0.897,0.998,0.835,0.828,0.699,0.718,0.911,0.946,0.831,0.876,0.806,0.511,0.36,0.398
ACORBAMH_20230216002023030300T.scan,6,144,0.893,0.871,0.908,0.853,0.904,0.885,0.998,0.814,0.808,0.672,0.704,0.902,0.942,0.808,0.867,0.778,0.459,0.361,0.326
ACORBAMH_20230216002023030300T.scan,7,168,0.881,0.86,0.892,0.841,0.887,0.877,0.997,0.809,0.799,0.65,0.658,0.884,0.928,0.769,0.843,0.743,0.405,0.22,0.206
ACORBAMH_20230216002023030300T.scan,8,192,0.863,0.835,0.87,0.815,0.865,0.878,0.996,0.796,0.791,0.611,0.565,0.861,0.912,0.735,0.837,0.709,0.281,0.082,0.13
ACORBAMH_20230216002023030300T.scan,9,216,0.87,0.835,0.851,0.815,0.847,0.875,0.996,0.787,0.79,0.607,0.515,0.839,0.896,0.749,0.827,0.694,0.3,0.032,0.078
ACORBAMH_20230216002023030300T.scan,10,240,0.848,0.799,0.817,0.779,0.812,0.857,0.997,0.761,0.752,0.584,0.542,0.822,0.871,0.743,0.811,0.641,0.345,0.075,0.007
