,,%Previsao,vtmp:925,vtmp:850,vtmp:500,temp:850,temp:500,temp:250,pslc:000,umes:925,umes:850,umes:500,zgeo:850,zgeo:500,zgeo:250,uvel:850,uvel:500,uvel:250,vvel:850,vvel:500,vvel:250
ACORBAMH_20230216002023030300T.scan,11,264,0.838,0.786,0.812,0.766,0.806,0.845,0.997,0.753,0.733,0.577,0.575,0.823,0.87,0.712,0.794,0.629,0.31,0.008,0.018
VIESBAMH0_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESBAMH0_20230216002023030300T.scan,1,24,-0.576,-0.405,-0.18,-0.4,-0.191,-0.022,-0.24,0.0,-0.0,0.0,-5.177,-8.506,-11.903,-0.362,-0.063,0.716,-0.291,0.105,0.357
VIESBAMH0_20230216002023030300T.scan,2,48,-0.9,-0.745,-0.196,-0.751,-0.207,-0.017,0.782,0.0,0.0,0.0,2.691,-2.95,-6.291,-0.324,-0.018,0.874,-0.077,-0.033,0.468
VIESBAMH0_20230216002023030300T.scan,3,72,-1.111,-0.974,-0.188,-0.992,-0.201,-0.03,1.785,0.0,0.0,0.0,10.621,3.758,0.015,-0.615,-0.355,1.061,-0.146,-0.08,0.188
VIESBAMH0_20230216002023030300T.scan,4,96,-1.218,-1.089,-0.267,-1.119,-0.286,-0.037,2.584,0.0,0.0,0.0,17.152,9.414,4.681,-1.037,-0.746,0.904,-0.224,0.008,-0.031
VIESBAMH0_20230216002023030300T.scan,5,120,-1.174,-1.016,-0.275,-1.056,-0.299,-0.124,2.66,0.0,0.0,0.0,17.958,10.493,4.714,-1.337,-1.111,0.985,-0.256,0.195,-0.125
VIESBAMH0_20230216002023030300T.scan,6,144,-1.145,-0.995,-0.292,-1.033,-0.315,-0.144,2.283,0.0,0.0,0.0,14.702,7.455,1.142,-1.138,-1.049,1.448,-0.344,0.305,0.145
VIESBAMH0_20230216002023030300T.scan,7,168,-1.26,-1.093,-0.322,-1.13,-0.343,-0.162,2.146,0.0,0.0,0.0,13.046,5.29,-1.377,-1.047,-1.074,1.559,-0.418,0.354,0.281
VIESBAMH0_20230216002023030300T.scan,8,192,-1.312,-1.19,-0.343,-1.229,-0.36,-0.176,1.842,0.0,0.0,0.0,9.947,1.803,-5.412,-0.992,-1.161,1.604,-0.313,0.353,0.403
VIESBAMH0_20230216002023030300T.scan,9,216,-1.486,-1.383,-0.428,-1.419,-0.442,-0.184,1.883,0.0,0.0,0.0,9.533,-0.172,-8.02,-0.936,-1.074,1.857,-0.346,0.205,0.276
VIESBAMH0_20230216002023030300T.scan,10,240,-1.506,-1.436,-0.398,-1.482,-0.406,-0.189,1.805,0.0,0.0,0.0,8.832,-1.37,-9.575,-0.806,-0.921,2.216,-0.514,0.125,0.231
VIESBAMH0_20230216002023030300T.scan,11,264,-1.495,-1.499,-0.471,-1.555,-0.474,-0.15,1.46,0.0,0.0,0.0,5.914,-5.459,-15.128,-0.594,-0.632,2.741,-0.438,0.04,0.205
RMSEBAMH0_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEBAMH0_20230216002023030300T.scan,1,24,1.399,1.235,0.752,1.276,0.767,0.91,2.943,0.001,0.001,0.0,29.654,31.415,35.036,2.345,2.357,3.769,2.071,2.15,3.878
RMSEBAMH0_20230216002023030300T.scan,2,48,2.031,1.87,1.033,1.906,1.043,1.145,3.455,0.002,0.001,0.001,31.741,33.031,38.068,3.349,3.229,5.387,3.06,2.945,5.494
RMSEBAMH0_20230216002023030300T.scan,3,72,2.307,2.153,1.319,2.206,1.325,1.369,4.015,0.002,0.002,0.001,34.71,37.33,45.969,3.898,3.996,6.525,3.444,3.728,7.168
RMSEBAMH0_20230216002023030300T.scan,4,96,2.633,2.478,1.683,2.517,1.684,1.574,4.741,0.002,0.002,0.001,39.688,44.087,58.191,4.091,4.931,7.79,4.026,4.7,9.304
RMSEBAMH0_20230216002023030300T.scan,5,120,2.907,2.772,1.917,2.785,1.91,1.705,5.152,0.002,0.002,0.001,42.752,49.901,69.706,4.443,5.702,9.545,4.365,5.434,11.061
RMSEBAMH0_20230216002023030300T.scan,6,144,3.229,3.155,2.146,3.127,2.136,1.923,5.294,0.002,0.002,0.001,43.755,53.5,76.294,4.857,6.209,10.563,4.732,5.915,12.064
RMSEBAMH0_20230216002023030300T.scan,7,168,3.48,3.472,2.307,3.43,2.291,1.983,5.636,0.002,0.002,0.001,45.716,56.581,82.001,5.077,6.4,11.044,5.036,6.64,12.677
RMSEBAMH0_20230216002023030300T.scan,8,192,3.751,3.762,2.507,3.697,2.494,1.969,5.875,0.002,0.002,0.001,47.576,61.293,86.869,5.287,6.841,12.237,5.266,7.197,13.108
RMSEBAMH0_20230216002023030300T.scan,9,216,3.747,3.819,2.665,3.776,2.642,2.101,6.209,0.003,0.002,0.001,51.434,69.577,98.142,5.33,7.294,13.115,5.232,7.108,12.812
RMSEBAMH0_20230216002023030300T.scan,10,240,3.853,3.966,2.616,3.92,2.591,2.038,6.032,0.003,0.003,0.001,50.745,70.386,99.499,5.293,7.412,13.538,5.219,7.197,13.725
RMSEBAMH0_20230216002023030300T.scan,11,264,3.87,4.046,2.699,3.998,2.677,2.072,5.554,0.003,0.003,0.001,47.08,67.622,97.19,5.156,7.371,13.734,5.18,6.809,13.137
ACORBAMH0_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORBAMH0_20230216002023030300T.scan,1,24,0.982,0.983,0.989,0.978,0.988,0.972,0.999,0.965,0.973,0.959,0.836,0.961,0.986,0.955,0.978,0.972,0.916,0.923,0.943
ACORBAMH0_20230216002023030300T.scan,2,48,0.964,0.963,0.978,0.955,0.977,0.957,0.999,0.925,0.935,0.897,0.813,0.955,0.982,0.909,0.958,0.941,0.804,0.838,0.875
ACORBAMH0_20230216002023030300T.scan,3,72,0.955,0.952,0.963,0.942,0.961,0.938,0.999,0.895,0.9,0.839,0.796,0.946,0.975,0.885,0.938,0.913,0.736,0.741,0.784
ACORBAMH0_20230216002023030300T.scan,4,96,0.94,0.934,0.936,0.922,0.934,0.914,0.999,0.862,0.866,0.803,0.76,0.93,0.959,0.878,0.916,0.876,0.611,0.551,0.587
ACORBAMH0_20230216002023030300T.scan,5,120,0.922,0.912,0.917,0.899,0.914,0.898,0.998,0.833,0.833,0.761,0.721,0.914,0.942,0.859,0.891,0.819,0.525,0.367,0.351
ACORBAMH0_20230216002023030300T.scan,6,144,0.901,0.88,0.892,0.866,0.888,0.874,0.998,0.809,0.81,0.732,0.692,0.898,0.929,0.818,0.87,0.775,0.434,0.282,0.222
ACORBAMH0_20230216002023030300T.scan,7,168,0.887,0.857,0.878,0.843,0.874,0.869,0.997,0.8,0.792,0.705,0.657,0.884,0.916,0.794,0.864,0.755,0.348,0.142,0.177
ACORBAMH0_20230216002023030300T.scan,8,192,0.87,0.838,0.859,0.824,0.855,0.879,0.997,0.79,0.783,0.679,0.608,0.866,0.909,0.774,0.852,0.708,0.332,0.06,0.092
ACORBAMH0_20230216002023030300T.scan,9,216,0.881,0.847,0.851,0.83,0.847,0.862,0.997,0.782,0.783,0.661,0.563,0.856,0.898,0.767,0.843,0.692,0.352,0.097,0.135
ACORBAMH0_20230216002023030300T.scan,10,240,0.869,0.828,0.847,0.81,0.843,0.864,0.997,0.773,0.765,0.632,0.582,0.853,0.893,0.768,0.841,0.677,0.354,0.069,0.059
ACORBAMH0_20230216002023030300T.scan,11,264,0.86,0.811,0.837,0.792,0.832,0.851,0.998,0.758,0.764,0.613,0.619,0.85,0.889,0.771,0.826,0.659,0.349,0.117,0.144
VIESX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIESX666_20230216002023030300T.scan,1,24,-0.009,-0.432,-0.368,-0.41,-0.372,0.181,-0.185,0.0,-0.0,0.0,-0.755,-6.524,-9.888,-0.147,0.014,0.052,0.033,0.123,0.243
VIESX666_20230216002023030300T.scan,2,48,-0.066,-0.552,-0.49,-0.512,-0.497,0.175,0.699,-0.0,-0.0,0.0,6.836,-1.735,-5.492,-0.451,-0.15,0.354,0.15,-0.066,0.246
VIESX666_20230216002023030300T.scan,3,72,-0.119,-0.596,-0.471,-0.55,-0.482,0.135,1.299,-0.0,-0.0,0.0,11.936,2.885,-0.571,-0.851,-0.45,0.663,0.031,-0.363,0.082
VIESX666_20230216002023030300T.scan,4,96,-0.13,-0.574,-0.496,-0.524,-0.512,0.03,1.823,-0.0,-0.0,0.0,16.502,7.058,2.717,-1.115,-0.932,0.693,-0.203,-0.56,-0.348
VIESX666_20230216002023030300T.scan,5,120,-0.068,-0.483,-0.564,-0.423,-0.58,-0.067,2.037,-0.0,-0.0,0.0,18.657,8.482,2.253,-1.35,-1.217,1.123,-0.218,-0.487,-0.361
VIESX666_20230216002023030300T.scan,6,144,-0.06,-0.447,-0.717,-0.387,-0.731,-0.17,1.813,-0.0,-0.0,0.0,16.785,5.351,-3.463,-1.143,-1.265,1.729,-0.24,-0.306,-0.252
VIESX666_20230216002023030300T.scan,7,168,-0.08,-0.45,-0.643,-0.387,-0.657,-0.208,1.361,-0.0,-0.0,0.0,12.689,2.009,-5.582,-0.948,-1.368,1.8,-0.371,-0.246,-0.131
VIESX666_20230216002023030300T.scan,8,192,-0.021,-0.428,-0.73,-0.371,-0.739,-0.208,1.152,-0.0,-0.0,0.0,10.973,-0.225,-9.374,-0.967,-1.835,1.491,-0.199,-0.261,-0.562
VIESX666_20230216002023030300T.scan,9,216,-0.132,-0.521,-0.808,-0.457,-0.816,-0.255,1.754,-0.0,-0.0,0.0,15.93,3.848,-6.937,-0.865,-1.909,1.771,-0.184,-0.29,-0.158
VIESX666_20230216002023030300T.scan,10,240,-0.234,-0.59,-0.781,-0.52,-0.793,-0.271,1.891,-0.0,-0.0,0.0,16.678,4.158,-6.175,-1.007,-1.732,1.989,-0.189,-0.334,-0.435
VIESX666_20230216002023030300T.scan,11,264,-0.296,-0.711,-0.878,-0.646,-0.886,-0.263,1.547,-0.0,-0.0,0.0,13.404,-0.858,-13.254,-0.761,-1.312,2.553,-0.188,-0.417,-0.57
RMSEX666_20230216002023030300T.scan,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RMSEX666_20230216002023030300T.scan,1,24,1.828,1.585,0.871,1.653,0.886,0.779,1.319,0.002,0.001,0.001,10.861,10.804,15.58,2.923,2.466,3.619,2.561,2.415,3.659
RMSEX666_20230216002023030300T.scan,2,48,2.108,1.909,1.126,1.972,1.139,1.069,1.866,0.002,0.002,0.001,15.59,12.557,18.561,3.572,3.23,5.08,3.049,2.928,4.961
RMSEX666_20230216002023030300T.scan,3,72,2.28,2.104,1.309,2.17,1.322,1.236,2.552,0.002,0.002,0.001,20.842,17.954,25.735,3.966,4.024,6.031,3.443,3.61,6.387
RMSEX666_20230216002023030300T.scan,4,96,2.434,2.273,1.499,2.339,1.51,1.37,3.149,0.002,0.002,0.001,25.687,24.912,34.582,4.12,4.597,6.67,3.731,4.343,7.398
RMSEX666_20230216002023030300T.scan,5,120,2.618,2.472,1.666,2.542,1.678,1.357,3.38,0.002,0.002,0.001,27.902,27.228,40.136,4.348,5.129,7.79,3.93,4.65,8.088
RMSEX666_20230216002023030300T.scan,6,144,2.909,2.814,2.027,2.872,2.034,1.479,3.581,0.002,0.003,0.001,29.06,32.263,51.942,4.444,5.814,8.997,4.25,5.185,9.496
RMSEX666_20230216002023030300T.scan,7,168,3.113,3.058,2.194,3.097,2.194,1.677,3.771,0.002,0.003,0.001,30.269,39.739,64.141,4.655,6.354,10.064,4.568,6.105,11.358
RMSEX666_20230216002023030300T.scan,8,192,3.307,3.325,2.546,3.329,2.535,1.765,4.323,0.003,0.003,0.001,34.83,48.828,79.467,4.947,6.949,11.341,5.014,6.8,13.029
RMSEX666_20230216002023030300T.scan,9,216,3.358,3.444,2.443,3.442,2.438,1.876,4.945,0.002,0.003,0.001,40.167,52.161,78.494,5.064,7.183,11.952,4.87,6.648,12.366
RMSEX666_20230216002023030300T.scan,10,240,3.634,3.737,2.698,3.707,2.686,1.955,5.506,0.002,0.003,0.001,43.649,55.767,85.568,5.202,7.688,13.148,5.432,7.149,12.988
RMSEX666_20230216002023030300T.scan,11,264,3.842,4.068,2.884,4.015,2.869,2.084,5.177,0.003,0.003,0.001,40.852,59.484,90.549,5.324,8.229,14.36,5.441,7.314,13.496
ACORX666_20230216002023030300T.scan,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ACORX666_20230216002023030300T.scan,1,24,0.961,0.968,0.986,0.958,0.985,0.977,1.0,0.924,0.932,0.912,0.975,0.998,0.998,0.921,0.972,0.971,0.856,0.909,0.948
ACORX666_20230216002023030300T.scan,2,48,0.948,0.956,0.976,0.944,0.974,0.955,1.0,0.895,0.897,0.861,0.961,0.995,0.996,0.896,0.956,0.945,0.779,0.846,0.89
ACORX666_20230216002023030300T.scan,3,72,0.937,0.945,0.964,0.931,0.961,0.943,0.999,0.871,0.866,0.824,0.934,0.989,0.992,0.883,0.938,0.922,0.704,0.752,0.817
ACORX666_20230216002023030300T.scan,4,96,0.927,0.932,0.949,0.916,0.946,0.926,0.999,0.843,0.833,0.781,0.913,0.981,0.986,0.878,0.926,0.905,0.639,0.631,0.74
ACORX666_20230216002023030300T.scan,5,120,0.915,0.917,0.938,0.898,0.934,0.925,0.999,0.816,0.798,0.74,0.898,0.975,0.98,0.862,0.908,0.867,0.609,0.546,0.66
ACORX666_20230216002023030300T.scan,6,144,0.895,0.89,0.913,0.869,0.908,0.91,0.999,0.802,0.774,0.701,0.883,0.965,0.967,0.84,0.883,0.826,0.534,0.452,0.517
ACORX666_20230216002023030300T.scan,7,168,0.883,0.875,0.892,0.852,0.887,0.89,0.999,0.791,0.755,0.67,0.851,0.945,0.952,0.817,0.865,0.789,0.479,0.302,0.354
ACORX666_20230216002023030300T.scan,8,192,0.867,0.847,0.861,0.824,0.856,0.886,0.998,0.77,0.733,0.645,0.804,0.919,0.928,0.794,0.84,0.718,0.402,0.209,0.182
ACORX666_20230216002023030300T.scan,9,216,0.865,0.839,0.866,0.814,0.86,0.868,0.998,0.771,0.72,0.633,0.788,0.916,0.929,0.795,0.836,0.701,0.427,0.249,0.276
ACORX666_20230216002023030300T.scan,10,240,0.839,0.8,0.832,0.773,0.825,0.87,0.998,0.769,0.724,0.627,0.699,0.892,0.904,0.781,0.824,0.666,0.312,0.149,0.215
ACORX666_20230216002023030300T.scan,11,264,0.824,0.773,0.815,0.746,0.808,0.848,0.998,0.744,0.711,0.612,0.725,0.886,0.895,0.767,0.801,0.611,0.294,0.132,0.118
